time,epoch,batch,loss,cost
0min1sec,9,550,-1.475,15.703
0min1sec,9,560,-1.513,15.706
0min1sec,9,570,-1.500,15.711
0min1sec,9,580,-1.487,15.706
0min1sec,9,590,-1.497,15.705
0min1sec,9,600,-1.513,15.701
0min1sec,9,610,-1.609,15.706
0min1sec,9,620,-1.599,15.702
0min14sec,10,0,16.977,14.497
0min1sec,10,10,-4.037,15.819
0min1sec,10,20,-2.762,15.599
0min1sec,10,30,-1.937,15.516
0min1sec,10,40,-0.831,15.512
0min1sec,10,50,-1.295,15.516
0min1sec,10,60,-1.190,15.552
0min1sec,10,70,-0.740,15.560
0min1sec,10,80,-0.884,15.582
0min1sec,10,90,-0.416,15.548
0min1sec,10,100,-0.501,15.551
0min1sec,10,110,-0.219,15.528
0min1sec,10,120,-0.065,15.566
0min1sec,10,130,-0.328,15.594
0min1sec,10,140,-0.760,15.627
0min1sec,10,150,-1.855,15.665
0min1sec,10,160,-2.092,15.671
0min1sec,10,170,-2.276,15.684
0min1sec,10,180,-2.971,15.692
0min1sec,10,190,-3.578,15.714
0min1sec,10,200,-3.401,15.705
0min1sec,10,210,-3.787,15.719
0min1sec,10,220,-4.155,15.733
0min1sec,10,230,-4.549,15.735
0min1sec,10,240,-5.126,15.764
0min1sec,10,250,-4.530,15.750
0min1sec,10,260,-4.282,15.749
0min1sec,10,270,-4.561,15.758
0min1sec,10,280,-4.470,15.756
0min1sec,10,290,-4.378,15.755
0min1sec,10,300,-4.686,15.768
0min1sec,10,310,-4.575,15.755
0min1sec,10,320,-4.619,15.752
0min1sec,10,330,-4.789,15.768
0min1sec,10,340,-4.748,15.774
0min1sec,10,350,-4.821,15.774
0min1sec,10,360,-4.670,15.772
0min1sec,10,370,-4.605,15.767
0min1sec,10,380,-4.310,15.758
0min1sec,10,390,-4.155,15.756
0min1sec,10,400,-4.179,15.755
0min1sec,10,410,-4.339,15.764
0min1sec,10,420,-4.317,15.773
0min1sec,10,430,-4.354,15.773
0min1sec,10,440,-4.306,15.769
0min1sec,10,450,-4.021,15.761
0min1sec,10,460,-3.935,15.760
0min1sec,10,470,-4.117,15.769
0min1sec,10,480,-4.322,15.781
0min1sec,10,490,-4.317,15.779
0min1sec,10,500,-4.388,15.778
0min1sec,10,510,-4.294,15.774
0min1sec,10,520,-4.303,15.772
0min1sec,10,530,-4.261,15.768
0min1sec,10,540,-4.302,15.772
0min1sec,10,550,-4.173,15.768
0min1sec,10,560,-4.173,15.772
0min1sec,10,570,-4.037,15.768
0min1sec,10,580,-4.043,15.769
0min1sec,10,590,-3.942,15.759
0min1sec,10,600,-3.891,15.756
0min1sec,10,610,-3.809,15.749
0min1sec,10,620,-3.783,15.745
0min14sec,11,0,-1.584,16.222
0min1sec,11,10,-5.502,15.488
0min1sec,11,20,-4.606,15.506
0min1sec,11,30,-2.909,15.440
0min1sec,11,40,-2.265,15.516
0min1sec,11,50,-2.366,15.527
0min1sec,11,60,-1.315,15.476
0min1sec,11,70,-1.125,15.502
0min1sec,11,80,-0.595,15.448
0min1sec,11,90,-0.483,15.444
0min1sec,11,100,-0.009,15.421
0min1sec,11,110,-0.181,15.448
0min1sec,11,120,0.258,15.467
0min1sec,11,130,0.197,15.488
0min1sec,11,140,0.597,15.459
0min1sec,11,150,0.805,15.435
0min1sec,11,160,0.579,15.457
0min1sec,11,170,0.527,15.455
0min1sec,11,180,0.241,15.467
0min1sec,11,190,0.091,15.468
0min1sec,11,200,-0.209,15.496
0min1sec,11,210,-0.183,15.496
0min1sec,11,220,-0.255,15.501
0min1sec,11,230,-0.441,15.504
0min1sec,11,240,-0.512,15.512
0min1sec,11,250,-0.543,15.528
0min1sec,11,260,-0.567,15.524
0min1sec,11,270,-0.924,15.538
0min1sec,11,280,-0.894,15.544
0min1sec,11,290,-0.937,15.545
0min1sec,11,300,-1.045,15.556
0min1sec,11,310,-1.242,15.564
0min1sec,11,320,-1.430,15.568
0min1sec,11,330,-1.620,15.584
0min1sec,11,340,-1.642,15.593
0min1sec,11,350,-2.039,15.608
0min1sec,11,360,-1.959,15.612
0min1sec,11,370,-1.754,15.603
0min1sec,11,380,-1.642,15.612
0min1sec,11,390,-1.486,15.623
0min1sec,11,400,-1.493,15.628
0min1sec,11,410,-1.494,15.626
